Date,open,high,low,close,volume
2025-11-03,7429.0,7497.5,7325.0,7465.0,34381
2025-11-04,7460.0,7460.0,7311.5,7365.5,25713
2025-11-06,7400.0,7410.0,7060.0,7089.5,35138
2025-11-07,7056.0,7205.5,7000.5,7158.0,21208
2025-11-10,7197.0,8060.0,7197.0,7953.0,458276
2025-11-11,7895.5,8197.0,7889.5,8123.5,136566
2025-11-12,8125.0,8378.5,8093.5,8282.5,72853
2025-11-13,8280.5,8341.5,8209.5,8304.0,44486
2025-11-14,8300.0,8300.0,8033.5,8075.5,31768
2025-11-17,8156.0,8560.0,8100.5,8541.0,74779
2025-11-18,8497.5,8739.0,8402.0,8670.5,58144
2025-11-19,8670.5,8670.5,8351.0,8513.5,41801
2025-11-20,8549.0,8566.0,8230.0,8250.5,42356
2025-11-21,8270.0,8328.0,7971.0,8080.5,38495
2025-11-24,8099.5,8252.0,8002.0,8188.5,76696
2025-11-25,8170.0,8217.0,8014.0,8072.0,22957
2025-11-26,8148.0,8214.5,8025.0,8146.0,22014
2025-11-27,8200.0,8209.5,8049.0,8071.5,14520
2025-11-28,8172.5,8577.0,8131.0,8159.5,183464
2025-12-01,8241.5,8241.5,7861.0,7898.5,50777
2025-12-02,7943.0,8150.0,7875.0,7961.5,74943
2025-12-03,8001.5,8005.5,7835.0,7918.5,34304
2025-12-04,7922.0,8028.0,7805.0,8000.5,39399
2025-12-05,8000.5,8044.0,7840.0,7881.0,27118
2025-12-08,7960.0,7960.0,7652.5,7682.5,38014
2025-12-09,7600.0,8035.0,7549.5,7995.5,40893
2025-12-10,7995.5,8040.0,7878.5,7951.5,25151
2025-12-11,7952.0,8040.0,7870.0,7982.5,13593
2025-12-12,7995.0,8134.0,7995.0,8100.5,20101
2025-12-15,8085.0,8179.5,8030.0,8058.0,14382
2025-12-16,8058.0,8125.5,7948.0,7970.5,10932
2025-12-17,7950.5,7988.0,7812.0,7912.0,15356
2025-12-18,7879.5,7951.5,7803.0,7880.5,13788
2025-12-19,7860.0,8160.0,7860.0,8071.5,40829
2025-12-22,8071.5,8170.0,7920.0,7935.5,29045
2025-12-23,7930.0,7947.0,7860.0,7879.5,11548
2025-12-24,7918.5,7955.0,7854.5,7887.5,12757
2025-12-26,7801.0,7899.5,7760.0,7777.5,13581
2025-12-29,7795.0,7810.0,7650.0,7765.5,18184
2025-12-30,7800.0,7805.0,7524.0,7685.5,40996
2025-12-31,7700.0,7879.0,7676.5,7852.0,34891
2026-01-01,7880.0,7880.0,7745.0,7790.5,19024
2026-01-02,7790.5,7940.0,7677.0,7877.0,22419
2026-01-05,7818.5,7958.5,7770.0,7790.0,15073
2026-01-06,7790.0,7790.0,7612.0,7640.5,17107
2026-01-07,7612.0,7733.0,7581.0,7709.5,22852
2026-01-08,7720.0,7755.5,7550.0,7582.0,15311
2026-01-09,7575.0,7580.0,7237.0,7264.5,41280
2026-01-12,7264.5,7399.0,6975.5,7089.0,29800
2026-01-13,7125.5,7224.0,7035.5,7160.5,24107
2026-01-14,7160.5,7232.5,7115.0,7151.5,24935
2026-01-15,7151.5,7151.5,7151.5,7151.5,0
2026-01-16,7150.0,7520.0,7077.0,7282.0,45503
2026-01-19,7190.5,7200.5,7060.0,7079.5,14649
2026-01-20,7086.5,7099.0,6875.0,6911.0,23961
2026-01-21,6914.5,6915.0,6756.0,6778.5,37303
2026-01-22,6825.0,7049.0,6825.0,6898.0,17604
2026-01-23,6900.0,6920.5,6805.0,6826.0,14709
2026-01-27,6826.0,6869.5,6666.0,6779.5,20139
2026-01-28,6790.0,7180.0,6790.0,7135.5,22590
2026-01-29,7265.0,7270.5,7140.0,7234.5,26442
2026-01-30,7249.0,7432.0,7175.0,7374.5,36084
2026-02-02,7285.5,7605.5,7256.5,7499.0,45982
2026-02-03,7740.5,7760.0,7475.0,7597.0,32589
2026-02-04,7687.0,7730.0,7545.5,7676.0,21997
2026-02-05,7670.0,8245.5,7531.0,7957.0,139783
2026-02-06,7973.5,8098.0,7854.5,7973.0,37687
2026-02-09,8003.0,8289.0,7994.0,8143.0,47889
2026-02-10,8165.0,8374.0,8120.0,8170.5,41648
2026-02-11,8163.5,8242.0,8065.0,8180.5,29284
2026-02-12,8152.0,8259.5,8140.0,8164.5,18207
2026-02-13,8108.0,8135.0,7921.0,7955.0,24998
2026-02-16,7900.0,8210.0,7836.0,8189.5,26725
2026-02-17,8189.5,8333.0,8141.0,8316.0,36282
2026-02-18,8354.0,8637.5,8320.0,8460.0,71297
2026-02-19,8539.0,8568.5,8200.0,8256.5,37074
2026-02-20,8250.5,8394.0,8162.5,8229.5,40423
2026-02-23,8305.0,8495.0,8262.0,8291.0,38061
2026-02-24,8275.5,8528.0,8247.5,8429.5,50341
2026-02-25,8519.0,8988.0,8467.0,8724.0,107938
2026-02-26,8738.0,9025.0,8730.0,9004.0,76402
2026-02-27,9050.0,9294.0,9019.5,9105.0,98680
2026-03-02,8540.0,9009.0,8540.0,8814.5,67394
