Date,open,high,low,close,volume
2025-11-03,1226.0,1241.0,1222.300048828125,1233.699951171875,6118907
2025-11-04,1230.0999755859375,1235.9000244140625,1222.800048828125,1226.5999755859375,3299345
2025-11-06,1225.0,1239.5999755859375,1225.0,1228.5,3733721
2025-11-07,1227.0,1228.800048828125,1217.0,1222.800048828125,3461466
2025-11-10,1222.0,1232.800048828125,1215.5,1217.0,4140568
2025-11-11,1218.0999755859375,1225.0,1209.4000244140625,1222.5,5615453
2025-11-12,1227.9000244140625,1232.699951171875,1216.5,1221.5999755859375,6782513
2025-11-13,1219.0,1234.800048828125,1213.199951171875,1225.199951171875,3345231
2025-11-14,1224.0,1246.0,1222.0,1241.5999755859375,5197740
2025-11-17,1243.9000244140625,1261.0,1240.4000244140625,1249.5999755859375,4088026
2025-11-18,1250.0,1273.5,1247.5999755859375,1265.4000244140625,10175969
2025-11-19,1268.0,1273.0,1257.800048828125,1270.4000244140625,4101288
2025-11-20,1275.0,1287.300048828125,1262.5999755859375,1285.199951171875,4617594
2025-11-21,1284.0,1284.5,1273.0,1275.800048828125,6363593
2025-11-24,1279.199951171875,1290.9000244140625,1266.5999755859375,1269.0,10491953
2025-11-25,1269.0999755859375,1276.699951171875,1263.699951171875,1266.300048828125,5290156
2025-11-26,1271.9000244140625,1292.800048828125,1269.300048828125,1290.199951171875,4842021
2025-11-27,1297.0,1304.0,1281.0,1287.300048828125,5924706
2025-11-28,1287.300048828125,1289.0,1275.0,1279.699951171875,3093636
2025-12-01,1288.0,1289.0,1268.5,1275.699951171875,4098016
2025-12-02,1270.699951171875,1281.0,1255.0999755859375,1258.0,8115347
2025-12-03,1255.0,1272.9000244140625,1255.0,1270.699951171875,3582794
2025-12-04,1270.699951171875,1282.800048828125,1269.4000244140625,1280.0,3216108
2025-12-05,1275.199951171875,1285.0,1267.300048828125,1282.5,2728214
2025-12-08,1284.0,1288.800048828125,1265.0999755859375,1273.800048828125,2969478
2025-12-09,1272.0,1281.4000244140625,1263.199951171875,1275.9000244140625,4239279
2025-12-10,1273.0,1284.0,1268.300048828125,1278.5999755859375,2928746
2025-12-11,1277.4000244140625,1282.0,1271.0,1272.699951171875,2017404
2025-12-12,1278.0,1291.0,1277.9000244140625,1286.0999755859375,2281078
2025-12-15,1285.0,1290.4000244140625,1280.0,1284.800048828125,1634472
2025-12-16,1277.0999755859375,1277.5999755859375,1216.9000244140625,1219.5999755859375,11542048
2025-12-17,1220.5999755859375,1236.0,1220.300048828125,1224.699951171875,5147181
2025-12-18,1226.0999755859375,1238.5,1220.199951171875,1229.800048828125,3441592
2025-12-19,1236.699951171875,1241.5,1229.0999755859375,1230.5999755859375,5055047
2025-12-22,1235.0,1236.9000244140625,1226.800048828125,1233.199951171875,2405809
2025-12-23,1239.0,1239.0,1223.5,1225.0,2920318
2025-12-24,1230.0,1235.4000244140625,1224.699951171875,1226.300048828125,3155506
2025-12-26,1225.0,1229.9000244140625,1222.0,1228.199951171875,1665983
2025-12-29,1228.199951171875,1233.9000244140625,1219.0,1232.0,2209655
2025-12-30,1233.0,1252.0999755859375,1232.0,1246.0,5673233
2025-12-31,1246.0,1271.5,1245.0,1269.4000244140625,3711090
2026-01-01,1270.0,1279.199951171875,1263.800048828125,1274.4000244140625,2022412
2026-01-02,1273.9000244140625,1281.800048828125,1264.300048828125,1266.9000244140625,5860547
2026-01-05,1274.199951171875,1289.699951171875,1270.0,1285.800048828125,6177100
2026-01-06,1304.5999755859375,1304.5999755859375,1285.4000244140625,1293.800048828125,6751769
2026-01-07,1293.0,1299.0,1284.0,1295.5,5440002
2026-01-08,1291.0999755859375,1303.199951171875,1283.800048828125,1286.800048828125,3949654
2026-01-09,1286.800048828125,1295.300048828125,1270.0999755859375,1272.0,5531427
2026-01-12,1274.699951171875,1279.5999755859375,1266.5,1274.199951171875,6489750
2026-01-13,1274.0,1284.0,1258.699951171875,1262.0,5163166
2026-01-14,1255.0,1308.0,1253.5,1298.800048828125,7776704
2026-01-15,1298.800048828125,1298.800048828125,1298.800048828125,1298.800048828125,0
2026-01-16,1298.800048828125,1309.0,1286.5,1294.199951171875,5175495
2026-01-19,1307.0,1327.0,1297.0999755859375,1307.5,8833223
2026-01-20,1306.0999755859375,1310.9000244140625,1290.0,1293.5,6268527
2026-01-21,1290.0,1297.699951171875,1267.4000244140625,1284.9000244140625,3854702
2026-01-22,1290.0,1298.9000244140625,1281.4000244140625,1294.800048828125,5949677
2026-01-23,1297.0,1299.0,1248.0,1258.0,8885549
2026-01-27,1288.800048828125,1333.199951171875,1278.4000244140625,1315.800048828125,22715357
2026-01-28,1348.0,1369.4000244140625,1310.199951171875,1319.800048828125,15426403
2026-01-29,1318.0,1367.0,1306.0,1363.699951171875,16107684
2026-01-30,1352.0,1378.699951171875,1352.0,1370.4000244140625,14758482
2026-02-02,1339.0,1352.699951171875,1302.9000244140625,1311.5,8647298
2026-02-03,1403.0,1418.300048828125,1345.5,1356.199951171875,10384723
2026-02-04,1369.699951171875,1369.9000244140625,1336.5999755859375,1338.699951171875,6672251
2026-02-05,1340.0,1340.0,1317.4000244140625,1330.5999755859375,3766488
2026-02-06,1325.0,1346.4000244140625,1324.699951171875,1341.5999755859375,5876574
2026-02-09,1350.0,1350.0,1330.699951171875,1341.4000244140625,4077536
2026-02-10,1352.5999755859375,1360.0999755859375,1343.300048828125,1356.699951171875,5478998
2026-02-11,1358.0,1360.0,1344.800048828125,1347.300048828125,3866272
2026-02-12,1347.9000244140625,1357.699951171875,1336.199951171875,1340.0,4152620
2026-02-13,1341.300048828125,1346.5,1316.0999755859375,1332.300048828125,4624549
2026-02-16,1324.0,1361.9000244140625,1324.0,1358.300048828125,5082167
2026-02-17,1358.300048828125,1360.9000244140625,1350.4000244140625,1357.199951171875,4513065
2026-02-18,1363.0,1378.5,1353.800048828125,1377.0,5556076
2026-02-19,1381.0999755859375,1382.800048828125,1351.0,1356.5999755859375,2744704
2026-02-20,1351.0,1376.5,1351.0,1368.300048828125,3791536
2026-02-23,1380.5,1402.0,1380.199951171875,1386.699951171875,6160153
2026-02-24,1398.0,1398.0,1383.5,1387.5999755859375,7888492
2026-02-25,1394.0,1404.300048828125,1387.5999755859375,1403.0,4379373
2026-02-26,1403.0,1405.699951171875,1386.0,1395.5,8979547
2026-02-27,1387.0,1395.5,1381.0,1383.9000244140625,5840317
2026-03-02,1369.0999755859375,1384.699951171875,1353.5999755859375,1372.300048828125,5132511
